Time,pos x,pos y,pos z
453.600006759,-832.6922853437903,-3604.539901315858,694.3702721166089
453.70000676,-832.4980847659067,-3604.408879578739,694.3702720897189
453.70000676,-832.6619935802408,-3604.174384151526,694.3702718300527
453.750006761,-832.7948247070842,-3604.1349511797957,694.37027133459
453.800006762,-832.5620428338735,-3604.0212561984113,694.3702713329313
453.850006762,-832.276495682868,-3604.006628098443,694.3702713453644
453.950006764,-832.2850084624837,-3603.813345551582,694.3702712221423
453.950006764,-832.5926755912386,-3603.947879093059,694.3702702044172
454.050006765,-832.842859439149,-3604.1856567682535,694.3702704417713
454.050006765,-832.9529251540434,-3604.551263802573,694.370269630039
454.100006766,-832.769938480221,-3604.602561441709,694.3702690545558
454.150006767,-832.8994400969715,-3604.622382181768,694.3702692813607
454.200006768,-832.794836990966,-3604.3826305115504,694.3702700873414
454.250006768,-832.8555378623623,-3604.349697103523,694.370269948289
454.300006769,-833.1141794612563,-3604.071379318926,694.37026935908
454.35000677,-833.0303916716235,-3604.190282159375,694.3702680333823
454.450006771,-832.8305284813532,-3604.1626414131706,694.3702680787658
454.450006771,-832.7623049251174,-3604.0543926936775,694.370269145818
454.550006773,-832.6128142383886,-3603.991974630616,694.3702686705359
454.550006773,-832.4132998903208,-3603.9654604749844,694.3702680899349
454.600006774,-832.5552781717362,-3603.8260689592116,694.3702677842903
454.700006775,-832.5537486828557,-3603.717333506144,694.3702675166411
454.750006776,-832.274297102714,-3604.000071010592,694.3702676335067
454.800006777,-832.4049148559862,-3604.121053636381,694.3702686262276
454.850006777,-832.4946197936328,-3604.204141351246,694.3702686262276
454.900006778,-832.8906796547445,-3604.468848381029,694.3702697908126
454.950006779,-833.0894275253297,-3604.097291981183,694.3702705600493
455.00000678,-833.0069404829582,-3604.0558720042523,694.37027011494
455.05000678,-832.5262214920002,-3604.1731507158056,694.3702706008271
455.05000678,-832.2891988556921,-3604.3844408106834,694.3702713185965
455.150006782,-832.3351586772675,-3604.46672125747,694.3702723044055
455.150006782,-832.2515678337068,-3604.404664586348,694.3702724841257
455.250006783,-832.2725459585582,-3604.186406783033,694.3702726119864
455.300006784,-832.4937087954883,-3604.385271375156,694.3702722801257
455.300006784,-832.489906630412,-3604.1230229569974,694.3702728985152
455.400006785,-832.613099913498,-3604.225352989626,694.370272583185
455.400006785,-832.5331667247522,-3604.160929451819,694.3702722023647
455.500006787,-832.9085727552757,-3604.596898019764,694.3702710631329
455.550006788,-832.8798020541514,-3604.6499919366283,694.3702707093923
455.550006788,-832.5670789321777,-3604.2689021250567,694.3702706496134
455.600006788,-832.5150119071963,-3604.4035837495217,694.3702703502713
455.650006789,-832.2608363168478,-3604.2607363608945,694.3702706570898
455.750006791,-832.5406375475571,-3604.130892434803,694.3702698244573
455.800006791,-832.638199456827,-3604.260307242872,694.3702692374063
455.800006791,-832.4419658524616,-3604.162190326443,694.3702687406857
455.900006793,-832.4276933159101,-3604.183236211977,694.3702689129902
455.900006793,-832.6093396129669,-3604.245473512866,694.3702686232328
455.950006794,-832.7698520424121,-3603.871288004593,694.3702696525254
456.050006795,-832.5542838276062,-3603.6269158149144,694.3702706435827
456.100006796,-832.3055065007776,-3603.8393693967187,694.370270999971
456.150006797,-832.6324090252815,-3603.7040690390904,694.3702711873469
456.150006797,-832.4747394160186,-3603.9184327483645,694.3702710740297
456.250006798,-832.5812589907753,-3604.362466614224,694.370270863991
456.250006798,-832.2745014635614,-3604.438084112197,694.3702718632597
